"","symbol","security","gics.sector","gics.sub.industry"
"1","MMM","3M Company","Industrials","Industrial Conglomerates"
"2","ABT","Abbott Laboratories","Health Care","Health Care Equipment"
"3","ABBV","AbbVie Inc.","Health Care","Pharmaceuticals"
"4","ABMD","ABIOMED Inc","Health Care","Health Care Equipment"
"5","ACN","Accenture plc","Information Technology","IT Consulting & Other Services"
"6","ATVI","Activision Blizzard","Communication Services","Interactive Home Entertainment"
"7","ADBE","Adobe Inc.","Information Technology","Application Software"
"8","AMD","Advanced Micro Devices Inc","Information Technology","Semiconductors"
"9","AAP","Advance Auto Parts","Consumer Discretionary","Automotive Retail"
"10","AES","AES Corp","Utilities","Independent Power Producers & Energy Traders"
"11","AFL","AFLAC Inc","Financials","Life & Health Insurance"
"12","A","Agilent Technologies Inc","Health Care","Health Care Equipment"
"13","APD","Air Products & Chemicals Inc","Materials","Industrial Gases"
"14","AKAM","Akamai Technologies Inc","Information Technology","Internet Services & Infrastructure"
"15","ALK","Alaska Air Group Inc","Industrials","Airlines"
"16","ALB","Albemarle Corp","Materials","Specialty Chemicals"
"17","ARE","Alexandria Real Estate Equities","Real Estate","Office REITs"
"18","ALXN","Alexion Pharmaceuticals","Health Care","Pharmaceuticals"
"19","ALGN","Align Technology","Health Care","Health Care Supplies"
"20","ALLE","Allegion","Industrials","Building Products"
"21","LNT","Alliant Energy Corp","Utilities","Electric Utilities"
"22","ALL","Allstate Corp","Financials","Property & Casualty Insurance"
"23","GOOGL","Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services"
"24","GOOG","Alphabet Inc. (Class C)","Communication Services","Interactive Media & Services"
"25","MO","Altria Group Inc","Consumer Staples","Tobacco"
"26","AMZN","Amazon.com Inc.","Consumer Discretionary","Internet & Direct Marketing Retail"
"27","AMCR","Amcor plc","Materials","Paper Packaging"
"28","AEE","Ameren Corp","Utilities","Multi-Utilities"
"29","AAL","American Airlines Group","Industrials","Airlines"
"30","AEP","American Electric Power","Utilities","Electric Utilities"
"31","AXP","American Express Co","Financials","Consumer Finance"
"32","AIG","American International Group","Financials","Property & Casualty Insurance"
"33","AMT","American Tower Corp.","Real Estate","Specialized REITs"
"34","AWK","American Water Works Company Inc","Utilities","Water Utilities"
"35","AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks"
"36","ABC","AmerisourceBergen Corp","Health Care","Health Care Distributors"
"37","AME","AMETEK Inc.","Industrials","Electrical Components & Equipment"
"38","AMGN","Amgen Inc.","Health Care","Biotechnology"
"39","APH","Amphenol Corp","Information Technology","Electronic Components"
"40","ADI","Analog Devices, Inc.","Information Technology","Semiconductors"
"41","ANSS","ANSYS, Inc.","Information Technology","Application Software"
"42","ANTM","Anthem","Health Care","Managed Health Care"
"43","AON","Aon plc","Financials","Insurance Brokers"
"44","AOS","A.O. Smith Corp","Industrials","Building Products"
"45","APA","Apache Corporation","Energy","Oil & Gas Exploration & Production"
"46","AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals"
"47","AMAT","Applied Materials Inc.","Information Technology","Semiconductor Equipment"
"48","APTV","Aptiv PLC","Consumer Discretionary","Auto Parts & Equipment"
"49","ADM","Archer-Daniels-Midland Co","Consumer Staples","Agricultural Products"
"50","ANET","Arista Networks","Information Technology","Communications Equipment"
"51","AJG","Arthur J. Gallagher & Co.","Financials","Insurance Brokers"
"52","AIZ","Assurant","Financials","Multi-line Insurance"
"53","T","AT&T Inc.","Communication Services","Integrated Telecommunication Services"
"54","ATO","Atmos Energy","Utilities","Gas Utilities"
"55","ADSK","Autodesk Inc.","Information Technology","Application Software"
"56","ADP","Automatic Data Processing","Information Technology","Data Processing & Outsourced Services"
"57","AZO","AutoZone Inc","Consumer Discretionary","Specialty Stores"
"58","AVB","AvalonBay Communities","Real Estate","Residential REITs"
"59","AVY","Avery Dennison Corp","Materials","Paper Packaging"
"60","BKR","Baker Hughes Co","Energy","Oil & Gas Equipment & Services"
"61","BLL","Ball Corp","Materials","Metal & Glass Containers"
"62","BAC","Bank of America Corp","Financials","Diversified Banks"
"63","BK","The Bank of New York Mellon","Financials","Asset Management & Custody Banks"
"64","BAX","Baxter International Inc.","Health Care","Health Care Equipment"
"65","BDX","Becton Dickinson","Health Care","Health Care Equipment"
